قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
2117.77,40,7016,2025,Q2-2025,تركيا
8988.43,4,9015,2025,Q2-2025,فيتنام
688770.37,4794,7007,2025,Q2-2025,سويسرا
38504.96,232,7411,2025,Q2-2025,الجزائر
2739994.51,142000.1,3912,2025,Q2-2025,إيرلندا
1171.07,1,8712,2025,Q2-2025,اليابان
146015.26,11270.9,7319,2025,Q2-2025,ألمانيا
28603.99,129.618,9029,2025,Q2-2025,بلجيكا
40465.84,639.107,9507,2025,Q2-2025,كوريا الجنوبية
1160.45,1,7314,2025,Q2-2025,بنجلادش
14532.47,17.25,6109,2025,Q2-2025,قطر
4152.59,4.45,0602,2025,Q2-2025,تايوان
20594.46,34.439,9605,2025,Q2-2025,الكويت
26356.77,373,5602,2025,Q2-2025,المملكة المتحدة
183064.07,15507.55,2001,2025,Q2-2025,اليابان
728828.76,31738.98,5516,2025,Q2-2025,الهند
9739939.48,3911045.15,0713,2025,Q2-2025,روسيا
32299.24,1290.85,6202,2025,Q2-2025,البحرين
185982.58,1222.58,7223,2025,Q2-2025,الولايات المتحدة
1589357.89,177722.797,3820,2025,Q2-2025,بلجيكا
452.3874,1,8460,2025,Q2-2025,سريلانكا
1217762.08,1688,9007,2025,Q2-2025,بلجيكا
11603.37,325.15,9605,2025,Q2-2025,كندا
1432420.21,1487724,1214,2025,Q2-2025,لتوانيا
6016.3,7,8528,2025,Q2-2025,كرواتيا
1147.06,108.501,7007,2025,Q2-2025,البرازيل
8161.48,1.03,8212,2025,Q2-2025,كندا
2298242.77,18539.106,8536,2025,Q2-2025,سلوفاكيا
1198563.42,64784.15,0806,2025,Q2-2025,الولايات المتحدة
1932.95,171,9103,2025,Q2-2025,بولندا
7498597.34,264557.927,4011,2025,Q2-2025,إسبانيا
5250,9000,4411,2025,Q2-2025,البحرين
364500,72000,2912,2025,Q2-2025,السويد
17081.25,83.6,8539,2025,Q2-2025,صربيا
22753.16,4050,3405,2025,Q2-2025,الكويت
929224471.5456,52090204.734,8704,2025,Q2-2025,الصين
2406620.47,256269.48,2309,2025,Q2-2025,جمهورية التشيك
36281.43,582,7312,2025,Q2-2025,لوكسمبورج
61769.29,73.76,8422,2025,Q2-2025,فيتنام
9553.66,25,6804,2025,Q2-2025,كندا
1321995.12,161821.475,5607,2025,Q2-2025,الهند
12822.58,970,2826,2025,Q2-2025,الهند
143567.86,236.08,6302,2025,Q2-2025,المملكة المتحدة
1931.69,228,7017,2025,Q2-2025,البرتغال
14251598.471,1614839.122,8306,2025,Q2-2025,الصين
1476300.81,74372.09,3923,2025,Q2-2025,بلجيكا
49.11,14.5,4820,2025,Q2-2025,الجابون
215491.97,17760.29,2901,2025,Q2-2025,اليابان
535669.98,17980.43,8419,2025,Q2-2025,إندونيسيا
7000.78,390,2530,2025,Q2-2025,المملكة المتحدة
78094.22,1038.4,1302,2025,Q2-2025,كوريا الجنوبية
220.11,4,2853,2025,Q2-2025,بلجيكا
58100.25,30337.142,4421,2025,Q2-2025,السودان
60877.54,141.64,9026,2025,Q2-2025,هونج كونج
369234.12,2195.408,8482,2025,Q2-2025,أستراليا
6750.31,300,6814,2025,Q2-2025,إسبانيا
75176.5,5692.787,5204,2025,Q2-2025,الصين
962.739,81,8607,2025,Q2-2025,رومانيا
1521.2,3,4010,2025,Q2-2025,تشيلي
384.42,4,6507,2025,Q2-2025,هولندا
546111.11,41373,3802,2025,Q2-2025,سريلانكا
1783.63,91.51,6913,2025,Q2-2025,البرازيل
2287.42,1,2303,2025,Q2-2025,إسبانيا
1803.24,1.65,6402,2025,Q2-2025,قطر
404.37,10,7907,2025,Q2-2025,مكسيك
327737.88,15880,3806,2025,Q2-2025,فرنسا
293749.4178,28368.486,4818,2025,Q2-2025,إيطاليا
668.18,153,7804,2025,Q2-2025,فيتنام
23919.52,31,9014,2025,Q2-2025,هنجاريا
291.41,0.5,6404,2025,Q2-2025,ماكاو
5636.69,1150,0908,2025,Q2-2025,باكستان
164908.97,16910,4017,2025,Q2-2025,البحرين
31872.55,997.12,9503,2025,Q2-2025,النمسا
3201531.24,418279.5,7314,2025,Q2-2025,جنوب إفريقيا
106.2,48,9606,2025,Q2-2025,الصومال
52385.84,888.725,3505,2025,Q2-2025,المملكة المتحدة
4353.05,7.9,5301,2025,Q2-2025,النمسا
12665513.23,935804.4,3003,2025,Q2-2025,الكويت
633484.7172,24454.59,9002,2025,Q2-2025,كوريا الجنوبية
237097.69,2526.04,6914,2025,Q2-2025,إيطاليا
2321.86,22,5105,2025,Q2-2025,الصين
10218.42,1600,9402,2025,Q2-2025,بنجلادش
